Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.448000	0.517908	0.038843	0.068882	0.018145	0.001000	0.001444	849.801612	48.233731
0.450000	0.517890	0.038842	0.068879	0.018173	0.001000	0.001442	848.915795	48.178629
0.452000	0.517871	0.038840	0.068877	0.018201	0.001000	0.001440	848.030486	48.123581
0.454000	0.517852	0.038839	0.068874	0.018229	0.001000	0.001438	847.145683	48.068587
0.456000	0.517833	0.038837	0.068872	0.018256	0.001000	0.001436	846.261388	48.013646
0.458000	0.517814	0.038836	0.068869	0.018284	0.001000	0.001434	845.377600	47.958758
0.460000	0.517795	0.038835	0.068867	0.018312	0.001000	0.001432	844.494319	47.903925
0.462000	0.517775	0.038833	0.068864	0.018340	0.001000	0.001430	843.611545	47.849146
0.464000	0.517756	0.038832	0.068862	0.018367	0.001000	0.001428	842.729278	47.794421
0.466000	0.517737	0.038830	0.068859	0.018395	0.001000	0.001426	841.847519	47.739750
0.468000	0.517717	0.038829	0.068856	0.018423	0.001000	0.001424	840.966266	47.685134
0.470000	0.517698	0.038827	0.068854	0.018450	0.001000	0.001421	840.085521	47.630573
0.472000	0.517678	0.038826	0.068851	0.018478	0.001000	0.001419	839.205282	47.576066
0.474000	0.517658	0.038824	0.068849	0.018505	0.001000	0.001417	838.325551	47.521615
0.476000	0.517638	0.038823	0.068846	0.018533	0.001000	0.001415	837.446326	47.467219
0.478000	0.517618	0.038821	0.068843	0.018560	0.001000	0.001413	836.567609	47.412878
0.480000	0.517598	0.038820	0.068841	0.018588	0.001000	0.001411	835.689398	47.358592
0.482000	0.517578	0.038818	0.068838	0.018615	0.001000	0.001409	834.811695	47.304362
0.484000	0.517558	0.038817	0.068835	0.018642	0.001000	0.001407	833.934498	47.250187
0.486000	0.517538	0.038815	0.068833	0.018670	0.001000	0.001405	833.057808	47.196069
0.488000	0.517517	0.038814	0.068830	0.018697	0.001000	0.001403	832.181626	47.142006
0.490000	0.517497	0.038812	0.068827	0.018724	0.001000	0.001401	831.305950	47.088000
0.492000	0.517476	0.038811	0.068824	0.018751	0.001000	0.001399	830.430780	47.034050
0.494000	0.517456	0.038809	0.068822	0.018778	0.001000	0.001397	829.556118	46.980156
0.496000	0.517435	0.038808	0.068819	0.018805	0.001000	0.001395	828.681963	46.926319
0.498000	0.517414	0.038806	0.068816	0.018832	0.001000	0.001393	827.808314	46.872538
0.500000	0.517393	0.038805	0.068813	0.018859	0.001000	0.001391	826.935172	46.818814
0.502000	0.517373	0.038803	0.068811	0.018886	0.001000	0.001389	826.062537	46.765147
0.504000	0.517351	0.038801	0.068808	0.018913	0.001000	0.001387	825.190408	46.711537
0.506000	0.517330	0.038800	0.068805	0.018940	0.001000	0.001385	824.318787	46.657984
0.508000	0.517309	0.038798	0.068802	0.018967	0.001000	0.001383	823.447671	46.604488
0.510000	0.517288	0.038797	0.068799	0.018994	0.001000	0.001381	822.577063	46.551049
0.512000	0.517267	0.038795	0.068796	0.019020	0.001000	0.001379	821.706961	46.497668
0.514000	0.517245	0.038793	0.068794	0.019047	0.001000	0.001377	820.837366	46.444345
0.516000	0.517224	0.038792	0.068791	0.019074	0.001000	0.001375	819.968277	46.391079
0.518000	0.517202	0.038790	0.068788	0.019100	0.001000	0.001374	819.099695	46.337872
0.520000	0.517180	0.038789	0.068785	0.019127	0.001000	0.001372	818.231620	46.284722
0.522000	0.517158	0.038787	0.068782	0.019154	0.001000	0.001370	817.364051	46.231630
0.524000	0.517137	0.038785	0.068779	0.019180	0.001000	0.001368	816.496989	46.178596
0.526000	0.517115	0.038784	0.068776	0.019207	0.001000	0.001366	815.630433	46.125620
0.528000	0.517093	0.038782	0.068773	0.019233	0.001000	0.001364	814.764383	46.072703
0.530000	0.517070	0.038780	0.068770	0.019259	0.001000	0.001362	813.898840	46.019844
0.532000	0.517048	0.038779	0.068767	0.019286	0.001000	0.001360	813.033804	45.967044
0.534000	0.517026	0.038777	0.068764	0.019312	0.001000	0.001358	812.169274	45.914302
0.536000	0.517003	0.038775	0.068761	0.019338	0.001000	0.001356	811.305250	45.861619
0.538000	0.516981	0.038774	0.068758	0.019364	0.001000	0.001354	810.441732	45.808995
0.540000	0.516958	0.038772	0.068755	0.019391	0.001000	0.001352	809.578721	45.756430
0.542000	0.516936	0.038770	0.068752	0.019417	0.001000	0.001350	808.716217	45.703924
0.544000	0.516913	0.038768	0.068749	0.019443	0.001000	0.001348	807.854218	45.651477
0.546000	0.516890	0.038767	0.068746	0.019469	0.001000	0.001346	806.992726	45.599089
0.548000	0.516867	0.038765	0.068743	0.019495	0.001000	0.001344	806.131740	45.546760
0.550000	0.516844	0.038763	0.068740	0.019521	0.001000	0.001342	805.271260	45.494491
0.552000	0.516821	0.038762	0.068737	0.019547	0.001000	0.001340	804.411287	45.442281
0.554000	0.516798	0.038760	0.068734	0.019573	0.001000	0.001338	803.551819	45.390130
0.556000	0.516775	0.038758	0.068731	0.019599	0.001000	0.001336	802.692858	45.338040
0.558000	0.516752	0.038756	0.068728	0.019625	0.001000	0.001335	801.834403	45.286009
0.560000	0.516728	0.038755	0.068725	0.019650	0.001000	0.001333	800.976454	45.234037
0.562000	0.516705	0.038753	0.068722	0.019676	0.001000	0.001331	800.119011	45.182126
